Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1) /get_method,39283,171,4,21061,680.45,0.076%,42.19129,6.71,6.22,162.9
2) /user_info_2,39275,167,13,21058,596.99,0.059%,42.18627,15.71,10.13,381.3
3) /user_info_3,39267,166,51,21064,584.78,0.048%,42.18194,10.84,10.21,263.2
4) /object_info_1,39261,173,22,21062,668.02,0.079%,42.17907,8.73,6.75,211.9
5) /object_info_2,39253,168,15,21057,582.91,0.056%,42.17411,16.15,6.79,392.2
6) /object_info_3,39244,166,60,21044,567.87,0.043%,42.16842,13.67,6.79,332.0
7) /object_info_4,39237,164,14,21048,544.81,0.033%,42.16403,8.27,6.75,200.8
TOTAL,274820,168,4,21064,605.56,0.056%,295.16546,80.06,53.63,277.8
