Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1) /get_method,52195,596,28,21047,695.56,0.092%,60.18172,9.59,8.87,163.2
2) /user_info_2,52155,591,9,21059,672.87,0.073%,60.14211,22.41,14.44,381.6
3) /user_info_3,52123,590,15,21052,675.20,0.075%,60.10958,15.48,14.55,263.7
4) /object_info_1,52094,585,4,21057,633.06,0.073%,60.08362,12.42,9.62,211.7
5) /object_info_2,52061,591,4,21048,667.68,0.088%,60.05082,23.04,9.67,392.9
6) /object_info_3,52021,593,6,21036,654.46,0.085%,60.01015,19.51,9.66,332.9
7) /object_info_4,51981,590,10,21045,648.14,0.079%,59.96927,11.82,9.60,201.8
TOTAL,364630,591,4,21059,664.15,0.081%,420.42357,114.24,76.37,278.2
